2021-11-11T09:03:35.501Z [AUDIT] Token created by 'anonymous': tokenId='ba713e70-e939-4689-9aa5-27e3a1c0bd6e', issuer='jfrou@01fm73sv6s4d6cyy1rm4qbwzj4', subject='jfrou@01fm73sv6s4d6cyy1rm4qbwzj4', expiry=none, refreshable=false
2021-11-11T10:53:52.553Z [AUDIT] Token created by 'jffe@000': tokenId='54f645e5-da4d-42be-8816-0eecb2839c04', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636628632553, refreshable=false
2021-11-11T10:53:52.556Z [AUDIT] Token created by 'jffe@000': tokenId='a2fd684f-eee2-42aa-8ae6-d64e249ee89a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636628632556, refreshable=false
2021-11-11T10:55:53.140Z [AUDIT] Token created by 'jffe@000': tokenId='675aa57a-f5f5-439b-9163-1926170b2252', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636628753140, refreshable=false
2021-11-11T11:01:42.915Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='07e3d76c-eef0-4b0a-a0c9-0f03a34c26fc', tokenId='9434e910-3deb-470a-ab58-61ac47f612c8', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636630302912, refreshable=true
2021-11-11T11:03:52.638Z [AUDIT] Token created by 'jffe@000': tokenId='44fc1a7d-5280-4f47-928f-723bca2f84a0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636629232638, refreshable=false
2021-11-11T11:03:52.638Z [AUDIT] Token created by 'jffe@000': tokenId='b38a9906-4e89-4e5d-b806-0eb93628a640', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636629232638, refreshable=false
2021-11-11T11:03:52.638Z [AUDIT] Token created by 'jffe@000': tokenId='2f30ed46-9254-40fc-ba36-10082903c948', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636629232638, refreshable=false
2021-11-11T11:03:52.638Z [AUDIT] Token created by 'jffe@000': tokenId='55746628-c153-4b27-96f2-da92737a404e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636629232638, refreshable=false
2021-11-11T11:03:52.639Z [AUDIT] Token created by 'jffe@000': tokenId='49dbd533-b20d-4b98-9e53-53bc6cb47bd0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636629232639, refreshable=false
2021-11-11T11:04:41.071Z [AUDIT] Token created by 'jffe@000': tokenId='90dabdd4-8458-4c1a-b70b-a2997b30ddc2', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636629281071, refreshable=false
2021-11-11T11:06:16.137Z [AUDIT] Token created by 'jffe@000': tokenId='6bc7b219-e87a-44a0-98b8-0955e08c44c3', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636629376137, refreshable=false
2021-11-11T11:08:29.434Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='9434e910-3deb-470a-ab58-61ac47f612c8', tokenId='4f8ead7a-ab30-4743-b214-5be44bb27de5', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636630709432, refreshable=true
2021-11-11T11:13:52.732Z [AUDIT] Token created by 'jffe@000': tokenId='796dd8be-69ad-4982-9a1e-4355900edf39', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636629832732, refreshable=false
2021-11-11T11:13:52.732Z [AUDIT] Token created by 'jffe@000': tokenId='41ffec33-bbec-43e7-9acf-a4bf9e914700', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636629832732, refreshable=false
2021-11-11T11:13:52.732Z [AUDIT] Token created by 'jffe@000': tokenId='998eeaa9-3761-46a7-bc2e-8a9c221a79a2', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636629832732, refreshable=false
2021-11-11T11:13:52.738Z [AUDIT] Token created by 'jffe@000': tokenId='f6984be5-574f-40ce-b9c1-f46ad8cc1bb5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636629832738, refreshable=false
2021-11-11T11:13:52.738Z [AUDIT] Token created by 'jffe@000': tokenId='de866db5-4fe0-4493-b433-a00d9b005a7b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636629832738, refreshable=false
2021-11-11T11:16:16.002Z [AUDIT] Token created by 'jffe@000': tokenId='825014ca-95d2-46d3-b072-5c2ac2d45a38', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636629976001, refreshable=false
2021-11-11T11:23:52.815Z [AUDIT] Token created by 'jffe@000': tokenId='21473aa1-1eaf-448e-8aa4-23e8f64b8cec', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636630432815, refreshable=false
2021-11-11T11:23:52.816Z [AUDIT] Token created by 'jffe@000': tokenId='02bfbde0-61f2-412f-9e32-6d0e707ac8b5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636630432816, refreshable=false
2021-11-11T11:23:52.817Z [AUDIT] Token created by 'jffe@000': tokenId='a0c52c0b-4ff5-4fdc-9f57-dc4063787361', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636630432817, refreshable=false
2021-11-11T11:23:52.818Z [AUDIT] Token created by 'jffe@000': tokenId='7e8951f0-4162-4d74-8f71-1dd89ed9716b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636630432818, refreshable=false
2021-11-11T11:23:52.815Z [AUDIT] Token created by 'jffe@000': tokenId='9eb1a35b-0645-4189-882c-9f53baa81425', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636630432815, refreshable=false
2021-11-11T11:26:53.137Z [AUDIT] Token created by 'jffe@000': tokenId='7c1bf780-0065-44a9-bbc8-ec319f5a7a1b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1636630613137, refreshable=false
2021-11-11T11:33:53.008Z [AUDIT] Token created by 'jffe@000': tokenId='90a3a0d2-031e-4ae3-af42-202d96229c07', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636631033008, refreshable=false
2021-11-11T11:33:53.008Z [AUDIT] Token created by 'jffe@000': tokenId='e62693e2-68cf-4006-8f68-5730d91085aa', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1636631033008, refreshable=false
